CHANGED
[U.] adv_cmds                       231-ps -> 235-ps
[U.] atuin                          18.8.0 -> 18.10.0
[U.] bottom                         0.11.2 -> 0.11.3
[U.] broot                          1.49.1 -> 1.53.0
[U.] c-ares                         1.34.5 -> 1.34.5 ×2
[U.] c-grammar-neovim               0.11.4 -> 0.11.5
[U.] carapace                       1.5.3 -> 1.5.4
[U.] chafa                          1.16.2, 1.16.2-bin -> 1.18.0, 1.18.0-bin
[D.] cups-headers                   2.4.14 ×2 -> 2.4.14
[D.] darwin-system                  25.11.6992186 -> 25.11.973db96
[U.] difftastic                     0.65.0 -> 0.67.0
[U.] doxx                           0-unstable-2025-08-18 -> 0.1.2
[U.] ffmpeg                         7.1.1-bin, 7.1.1-data, 7.1.1-lib -> 8.0-bin, 8.0-data, 8.0-lib
[U.] ffmpeg-headless                7.1.1-bin, 7.1.1-data, 7.1.1-lib -> 8.0-bin, 8.0-data, 8.0-lib
[U.] fzf                            0.66.1, 0.66.1-man -> 0.67.0, 0.67.0-man
[U.] gdk-pixbuf                     2.42.12 -> 2.44.3
[U.] gh                             2.82.1 -> 2.83.1
[U.] git                            2.51.0, 2.51.0-doc -> 2.51.2, 2.51.2-doc
[U.] git-minimal                    2.51.0 -> 2.51.2
[U.] glib                           2.84.4 -> 2.86.1
[U.] hledger                        1.43.2 -> 1.50.2
[U.] jujutsu                        0.34.0 -> 0.35.0
[U.] just                           1.43.0, 1.43.0-man -> 1.43.1, 1.43.1-man
[U.] kubernetes-helm                3.19.0 -> 3.19.1
[U.] lazydocker                     0.24.1 -> 0.24.2
[U.] libarchive                     3.8.1-lib -> 3.8.2-lib
[C.] libffi                         39 ×2 -> 39, 40
[C.] libiconv                       1.17 ×2, 109 ×2, 109-dev ×2 -> 1.17, 109, 109-dev, 1.18, 109.100.2, 109.100.2-dev
[C.] libresolv                      83 ×2, 83-dev ×2 -> 83, 83-dev, 91, 91-dev
[U.] librsvg                        2.61.1 -> 2.61.2
[U.] libunistring                   1.4 -> 1.4.1
[U.] libxml2                        2.15.0 -> 2.15.1
[U.] lua-grammar-neovim             0.11.4 -> 0.11.5
[U.] markdown-grammar-neovim        0.11.4 -> 0.11.5
[U.] markdown_inline-grammar-neovim 0.11.4 -> 0.11.5
[U.] ncspot                         1.3.1 -> 1.3.2
[U.] neovim                         0.11.4 -> 0.11.5
[U.] neovim-unwrapped               0.11.4 -> 0.11.5
[U.] nix                            2.32pre20250919_07b96c1d -> 2.33pre20251107_479b6b73
[U.] nix-cmd                        2.32pre20250919_07b96c1d -> 2.33pre20251107_479b6b73
[U.] nix-expr                       2.32pre20250919_07b96c1d -> 2.33pre20251107_479b6b73
[U.] nix-fetchers                   2.32pre20250919_07b96c1d -> 2.33pre20251107_479b6b73
[U.] nix-flake                      2.32pre20250919_07b96c1d -> 2.33pre20251107_479b6b73
[U.] nix-main                       2.32pre20250919_07b96c1d -> 2.33pre20251107_479b6b73
[U.] nix-output-monitor             2.1.6 -> 2.1.8
[U.] nix-store                      2.32pre20250919_07b96c1d -> 2.33pre20251107_479b6b73
[U.] nix-util                       2.32pre20250919_07b96c1d -> 2.33pre20251107_479b6b73
[U.] nodejs                         22.20.0 -> 22.21.1
[U.] onetbb                         2022.2.0 -> 2022.3.0
[C.] openjpeg                       2.5.2 ×2 -> 2.5.2, 2.5.4
[U.] p11-kit                        0.25.9 -> 0.25.10
[U.] pango                          1.56.4 -> 1.57.0
[U.] protobuf                       32.1 -> 33.0
[U.] ps-adv_cmds                    231 -> 235
[U.] publicsuffix-list              0-unstable-2025-08-28 -> 0-unstable-2025-10-08
[C.] python3                        3.12.12, 3.12.11-env, 3.13.8, 3.13.8-env ×2, 3.12.11 -> 3.12.12 ×2, 3.12.12-env, 3.13.9, 3.13.9-env ×2
[U.] python3.12-cryptography        46.0.1 -> 46.0.2
[U.] python3.12-grpcio              1.75.1 -> 1.76.0
